title,link
Two Men Contemplating the Moon,https://www.wikiart.org/zh/qia-si-pa-da-wei-fu-lei-de-li-xi/not-detected-1
The Banjo Lesson,https://www.wikiart.org/zh/henry-ossawa-tanner/the-banjo-lesson-1893
Amor Victorious,https://www.wikiart.org/zh/qia-la-wa-qiao/amor-victorious-1602
Glass tears,https://www.wikiart.org/zh/man-lei/larmes-tears
Portrait of Dora Maar,https://www.wikiart.org/zh/ba-bo-luo-bi-qia-suo/portrait-of-dora-maar-1937-1
最後的晚餐,https://www.wikiart.org/zh/lie-ao-na-duo-da-fen-qi/zui-hou-de-wan-can-1495
Flower myth,https://www.wikiart.org/zh/bao-luo-ke-li/flower-myth-1918
Madame X (also known as Madame Pierre Gautreau),https://www.wikiart.org/zh/yue-han-xin-ge-sa-jin-te/madame-x-also-known-as-madame-pierre-gautreau-1884
Danae,https://www.wikiart.org/zh/gu-si-ta-fu-ke-lin-mu/danae-1908
Girl on the ball,https://www.wikiart.org/zh/ba-bo-luo-bi-qia-suo/girl-on-the-ball-1905
Ascent of the Blessed,https://www.wikiart.org/zh/ye-luo-ni-mi-si-bo-si/ascent-of-the-blessed-1504
The Bellelli Family,https://www.wikiart.org/zh/ai-de-jia-de-jia/the-belleli-family-1862
Forest,https://www.wikiart.org/zh/bao-luo-sai-shang/forest
Death for the Idea,https://www.wikiart.org/zh/bao-luo-ke-li/death-for-the-idea-1915
The Gift,https://www.wikiart.org/zh/man-lei/the-gift-1921
Rhythm 0,https://www.wikiart.org/zh/ma-li-nuo-a-bu-la-mo-wei-qi/rhythm-0
Still life  pitcher and fruit,https://www.wikiart.org/zh/bao-luo-sai-shang/still-life-pitcher-and-fruit-1894
The Wheat Sifters,https://www.wikiart.org/zh/ju-si-ta-fu-ku-er-bei/the-wheat-sifters-1855-1
黃金律,https://www.wikiart.org/zh/nuo-man-luo-ke-wei-er/huang-jin-lu-1961
In the Style of Kairouan,https://www.wikiart.org/zh/bao-luo-ke-li/in-the-style-of-kairouan-1914
University of Vienna Ceiling Paintings (Medicine)  detail showing Hygieia,https://www.wikiart.org/zh/gu-si-ta-fu-ke-lin-mu/university-of-vienna-ceiling-paintings-medicine-detail-showing-hygieia-1907-1
下樓的裸女二號,https://www.wikiart.org/zh/ma-sai-er-du-xiang/xia-lou-de-luo-nu-er-hao-1912
美国哥特式,https://www.wikiart.org/zh/ge-lan-te-wu-de/mei-guo-ge-te-shi-1930
Piazza d'Italia,https://www.wikiart.org/zh/qiao-zhi-de-ji-li-ke/piazza-d-italia-1913
吶喊,https://www.wikiart.org/zh/ai-de-hua-meng-ke/ne-han-1893
Drowning girl,https://www.wikiart.org/zh/luo-yi-li-xi-teng-si-tan/drowning-girl-1963
The Hallucinogenic Toreador,https://www.wikiart.org/zh/sa-er-wa-duo-da-li/hallucinogenic-toreador-1970
阿諾菲尼的婚禮,https://www.wikiart.org/zh/yang-fan-ai-ke/a-er-nuo-fei-ni-fu-fu-1434
The Souls of the Mountain,https://www.wikiart.org/zh/remedios-varo/the-souls-of-the-mountain-1938
Black and Violet,https://www.wikiart.org/zh/wa-xi-li-kang-ding-si-ji/black-and-violet-1923
Portrait of Napoléon on the Imperial Throne,https://www.wikiart.org/zh/rang-ao-gu-si-te-duo-mi-ni-ke-an-ge-er/portrait-of-napoleon-on-the-imperial-throne-1806
迦拿的婚禮,https://www.wikiart.org/zh/bao-luo-wei-luo-nei-sai/jia-na-de-hun-li-1563
Self Portrait,https://www.wikiart.org/zh/a-dao-fu-xi-te-le/self-portrait-1910
My Dress Hangs There,https://www.wikiart.org/zh/fu-lie-da-qia-luo/my-dress-hangs-there-1933
Paul Gauguin's Armchair,https://www.wikiart.org/zh/wen-sen-te-fan-gao/paul-gauguin-s-armchair-1888
Boy and Girl gazing at the Moon,https://www.wikiart.org/zh/nuo-man-luo-ke-wei-er/boy-and-girl-gazing-at-the-moon-1926
Landscape with House and Ploughman,https://www.wikiart.org/zh/wen-sen-te-fan-gao/landscape-with-house-and-ploughman-1889
Andre Derain,https://www.wikiart.org/zh/ba-er-di-si/andre-derain-1936
Hylas and the Nymphs,https://www.wikiart.org/zh/yue-han-wei-lian-mu-wo-te-hao-si/hylas-and-the-nymphs-1896-1
The Wounded Deer,https://www.wikiart.org/zh/fu-lie-da-qia-luo/the-wounded-deer-1946
A rooster,https://www.wikiart.org/zh/ba-bo-luo-bi-qia-suo/a-rooster-1938-1
畫向日葵的畫家,https://www.wikiart.org/zh/bao-luo-gao-geng/hua-xiang-ri-kui-de-hua-jia-1888
The Absinthe Drinker,https://www.wikiart.org/zh/ai-de-jia-de-jia/the-absinthe-drinker-1876
Cat catching a bird,https://www.wikiart.org/zh/ba-bo-luo-bi-qia-suo/cat-catching-a-bird-1939
Irises in Monet's Garden,https://www.wikiart.org/zh/ke-lao-de-mo-nai/irises-in-monet-s-garden-03
Ophelia,https://www.wikiart.org/zh/yue-han-wei-lian-mu-wo-te-hao-si/ophelia-1889
梦想（床）,https://www.wikiart.org/zh/fu-lie-da-qia-luo/meng-xiang-chuang-1940
The Castle of the Pyrenees,https://www.wikiart.org/zh/lei-nei-ma-ge-li-te/the-castle-of-the-pyrenees-1959
Paradise Lost,https://www.wikiart.org/zh/gu-si-ta-fu-duo-lei/paradise-lost-3
The Charge of the Lancers,https://www.wikiart.org/zh/weng-bei-tuo-bo-qiu-ni/the-charge-of-the-lancers-1915
Self-Portrait,https://www.wikiart.org/zh/ba-bo-luo-bi-qia-suo/self-portrait-1907
嘉舍醫師的畫像,https://www.wikiart.org/zh/wen-sen-te-fan-gao/jia-she-yi-shi-de-hua-xiang-1890-0
The old blind guitarist,https://www.wikiart.org/zh/ba-bo-luo-bi-qia-suo/the-old-blind-guitarist-1903
El grito nº 3,https://www.wikiart.org/zh/oswaldo-guayasamin/el-grito-n-3-1983
Jacob's Dream,https://www.wikiart.org/zh/hu-sai-pei-de-li-bei-la/jacob-s-dream-1639
Lamentation (The Mourning of Christ),https://www.wikiart.org/zh/qiao-tuo-di-bang-duo-na/lamentation-the-mourning-of-christ-1306-1
San Giorgio Maggiore at Dusk,https://www.wikiart.org/zh/ke-lao-de-mo-nai/san-giorgio-maggiore-at-dusk
夜巡,https://www.wikiart.org/zh/lun-bo-lang/ye-xun-1642
Woman with a Hat,https://www.wikiart.org/zh/heng-li-ma-di-si/woman-with-hat-1905
The Temptation of St. Anthony,https://www.wikiart.org/zh/sa-er-wa-duo-da-li/the-temptation-of-st-anthony
Goldfish,https://www.wikiart.org/zh/heng-li-ma-di-si/goldfish-1911
Winston Churchill,https://www.wikiart.org/zh/graham-sutherland/winston-churchill-1954-1
Dancer,https://www.wikiart.org/zh/hu-an-mi-luo/dancer
Ashes,https://www.wikiart.org/zh/ai-de-hua-meng-ke/ashes-1894
Lighthouse at Two Lights,https://www.wikiart.org/zh/ai-de-hua-huo-pu/lighthouse-at-two-lights-1929
Vienna State Opera House,https://www.wikiart.org/zh/a-dao-fu-xi-te-le/opera-de-vienne
The Listening Room,https://www.wikiart.org/zh/lei-nei-ma-ge-li-te/the-listening-room-1952
美麗的費隆妮葉夫人,https://www.wikiart.org/zh/lie-ao-na-duo-da-fen-qi/mei-li-de-fei-long-ni-xie-fu-ren-1490
Blue Horse I,https://www.wikiart.org/zh/fu-lan-ci-ma-er-ke/blue-horse-i-1911
Vampire,https://www.wikiart.org/zh/ai-de-hua-meng-ke/vampire-1895
Suprematist Composition,https://www.wikiart.org/zh/qia-ji-mi-er-xie-wei-li-nuo-wei-qi-ma-lie-wei-qi/suprematist-composition-1915
The Stages of Life,https://www.wikiart.org/zh/qia-si-pa-da-wei-fu-lei-de-li-xi/the-stages-of-life
Self-Portrait with a Beret,https://www.wikiart.org/zh/ke-lao-de-mo-nai/self-portrait-with-a-beret-1886
Self-Portrait,https://www.wikiart.org/zh/a-er-bu-lei-xi-te-diu-le/self-portrait-1498
在地獄的但丁和維吉爾,https://www.wikiart.org/zh/wei-lian-a-dao-fu-bu-ge-luo/zai-di-yu-de-dan-ding-he-wei-ji-er-1850
The Face of War,https://www.wikiart.org/zh/sa-er-wa-duo-da-li/the-face-of-war-1941
Snow Storm - Steamboat off a Harbour's Mouth,https://www.wikiart.org/zh/yue-se-fu-ma-luo-de-wei-lian-te-na/snow-storm-steam-boat-off-a-harbours-mouth-1842
A Knight At the Crossroads,https://www.wikiart.org/zh/wei-ke-duo-wa-si-nie-zuo-fu/a-knight-at-the-crossroads-1878
自由引导人民,https://www.wikiart.org/zh/ou-ren-de-la-ke-luo-wa/zi-you-yin-dao-ren-min-1830
Don Quixote and Sancho Setting Out,https://www.wikiart.org/zh/gu-si-ta-fu-duo-lei/don-quixote-and-sancho-setting-out-1863
Frida and the Miscarriage,https://www.wikiart.org/zh/fu-lie-da-qia-luo/frida-and-the-miscarriage-1932
The Discovery of America by Christopher Columbus,https://www.wikiart.org/zh/sa-er-wa-duo-da-li/the-discovery-of-america-by-christopher-columbus-1959
Sower with Setting Sun,https://www.wikiart.org/zh/wen-sen-te-fan-gao/sower-with-setting-sun-1888-3
Mystery and Melancholy of a Street,https://www.wikiart.org/zh/qiao-zhi-de-ji-li-ke/mystery-and-melancholy-of-a-street-1914
Science and Charity,https://www.wikiart.org/zh/ba-bo-luo-bi-qia-suo/science-and-charity-1897
Big Campbell's Soup Can 19c (Beef Noodle),https://www.wikiart.org/zh/an-di-wo-he/campbell-s-soup-can-beef
镜前的维纳斯,https://www.wikiart.org/zh/wei-la-si-kai-zi/jing-qian-de-wei-na-si-1648
黑方塊,https://www.wikiart.org/zh/qia-ji-mi-er-xie-wei-li-nuo-wei-qi-ma-lie-wei-qi/hei-fang-kuai-1915-0
Transverse Line,https://www.wikiart.org/zh/wa-xi-li-kang-ding-si-ji/transverse-line-1923
Starry Night Over the Rhone,https://www.wikiart.org/zh/wen-sen-te-fan-gao/the-starry-night-1888-2
The Joy of Life,https://www.wikiart.org/zh/heng-li-ma-di-si/the-joy-of-life-1906
聖馬太蒙召喚,https://www.wikiart.org/zh/qia-la-wa-qiao/sheng-ma-tai-meng-zhao-huan-1600
西斯廷聖母,https://www.wikiart.org/zh/la-fei-er/xi-si-ting-sheng-mu-1513
1808年5月3日,https://www.wikiart.org/zh/fu-lang-xi-si-ke-ge-ya/1808nian-5yue-3ri-1814
The treachery of images (This is not a pipe),https://www.wikiart.org/zh/lei-nei-ma-ge-li-te/the-treachery-of-images-this-is-not-a-pipe-1948
